Tipo,anio,Suma_Total_sueldos,Conteo_Empleados,Promedio_sueldo,Salario_Minimo,Salario_Maximo
ADMIN,2019,18235639.07,1732,10528.65997113164,1868.27,81117.27
ADMIN,2020,246307007.52,20830,11824.62830148824,177.2,92810.86
ADMIN,2021,248742064.04,17842,13941.377874677726,544.11,121781.67
ADMIN,2022,224141735.48,16604,13499.26135148157,198.64,140205.63
ADMIN,2023,19683654.47,1535,12823.227667752442,1621.49,107790.01
CENTRO,2019,5562617.36,561,9915.538966131908,1100.22,81221.97
CENTRO,2020,72076014.53,6548,11007.332701588271,1167.8,90359.69
CENTRO,2021,76278090.86,5731,13309.734925841913,1515.67,120970.94
CENTRO,2022,73760019.57000001,5643,13071.064960127593,245.38,92446.62
CENTRO,2023,6359522.84,508,12518.745748031495,2483.47,72731.35
FACULTAD,2019,75140098.27,6117,12283.815313061958,408.99,86245.29
FACULTAD,2020,967841276.02,68859,14055.407078522778,177.2,98881.96
FACULTAD,2021,1011456715.93,62623,16151.521261038275,297.42,138744.51
FACULTAD,2022,1114363335.58,63325,17597.526025740226,189.65,140739.88
FACULTAD,2023,88669979.08,4979,17808.79274553123,669.2,105482.32
HOSPITAL,2019,17910940.36,2615,6849.30797705545,2126.11,35113.85
HOSPITAL,2020,232678561.44,30868,7537.856726707269,175.41,48428.84
HOSPITAL,2021,259524412.24,27305,9504.64794872734,1430.54,56120.97
HOSPITAL,2022,224326815.81,20665,10855.398781030728,2517.72,81009.01
HOSPITAL,2023,18908507.16,1839,10281.950603588906,6274.22,65855.07
OTRO,2019,1927279.45,238,8097.81281512605,2611.44,40227.46
OTRO,2020,26224719.98,2835,9250.342144620812,1384.96,58777.06
OTRO,2021,35093917.11,3040,11544.051680921053,3041.28,78959.29
OTRO,2022,33565792.07,2789,12035.06348870563,1535.48,63580.03
OTRO,2023,2906849.04,254,11444.287559055118,5161.3,51022.31
PREPARATORIA,2019,34551189.67,3147,10979.087915475056,294.44,53160.36
PREPARATORIA,2020,428779179.5,35242,12166.709593666648,256.14,65394.43
PREPARATORIA,2021,463033723.37,32884,14080.821170478044,187.54,69090.83
PREPARATORIA,2022,498356771.2,32785,15200.75556504499,205.36,70878.55
PREPARATORIA,2023,33007691.37,2389,13816.53050230222,472.57,56719.05
