,Tipo,Fecha,Sueldo Neto,Sueldo Neto,Sueldo Neto,Sueldo Neto,Sueldo Neto
,,,sum,count,mean,min,max
0,ADMIN,2019-12-01,18235639.07,1732,10528.65997113164,1868.27,81117.27
1,ADMIN,2020-01-01,18935541.24,1731,10939.076395147313,2011.98,89270.57
2,ADMIN,2020-02-01,18992417.61,1733,10959.27155799192,2218.23,89374.03
3,ADMIN,2020-03-01,19214948.64,1740,11043.073931034483,177.2,83755.91
4,ADMIN,2020-04-01,19779973.4,1733,11413.718061165608,2874.47,90454.15
5,ADMIN,2020-05-01,19912059.79,1722,11563.333211382112,583.16,90454.15
6,ADMIN,2020-06-01,18001273.48,1736,10369.397165898617,1299.26,75230.64
7,ADMIN,2020-07-01,19850408.62,1726,11500.816118192353,2347.18,90454.15
8,ADMIN,2020-08-01,20245212.73,1724,11743.162836426915,407.16,90454.15
9,ADMIN,2020-09-01,20132556.07,1708,11787.21081381733,2694.8,90454.15
10,ADMIN,2020-10-01,19969378.24,1692,11802.233002364066,2809.47,90454.15
11,ADMIN,2020-11-01,19222686.29,1688,11387.847328199052,343.25,83755.91
12,ADMIN,2020-12-01,32050551.41,1897,16895.3881971534,4191.47,92810.86
13,ADMIN,2021-01-01,22156943.8,1654,13395.97569528416,1897.33,92832.57
14,ADMIN,2021-02-01,22573851.92,1637,13789.76904092853,544.11,93549.84
15,ADMIN,2021-03-01,22911534.5,1633,14030.33343539498,2655.68,88836.22
16,ADMIN,2021-04-01,23278448.65,1644,14159.640298053528,2445.13,95442.74
17,ADMIN,2021-05-01,23276454.2,1642,14175.672472594397,1208.5,95442.74
18,ADMIN,2021-06-01,28581806.31,1636,17470.54175427873,4207.08,121781.67
19,ADMIN,2021-07-01,22402066.4,1638,13676.475213675212,3786.98,95442.74
20,ADMIN,2021-08-01,22322450.23,1629,13703.161589932473,4153.1,95442.74
21,ADMIN,2021-09-01,22210687.32,1626,13659.709298892989,3041.28,95340.74
22,ADMIN,2021-10-01,21533373.37,1569,13724.266010197578,4401.28,90439.69
23,ADMIN,2021-11-01,17494447.34,1534,11404.46371577575,3672.5,67499.53
24,CENTRO,2019-12-01,5562617.36,561,9915.538966131908,1100.22,81221.97
25,CENTRO,2020-01-01,5684546.41,545,10430.3603853211,2208.3,89165.06
26,CENTRO,2020-02-01,5805946.61,554,10480.048032490975,2245.29,89364.16
27,CENTRO,2020-03-01,5886917.63,562,10474.942402135232,1934.2,83836.64
28,CENTRO,2020-04-01,6070049.44,562,10800.799715302492,1299.26,90359.69
29,CENTRO,2020-05-01,6042602.43,558,10829.036612903225,1167.8,90359.69
30,CENTRO,2020-06-01,5173640.84,537,9634.340484171322,2285.77,75521.57
31,CENTRO,2020-07-01,5540925.2299999995,522,10614.799291187739,2335.6,90359.69
32,CENTRO,2020-08-01,5520374.46,522,10575.43,1964.87,90359.69
